Company,Title,Apply URL,Experience,Category,Location,Location Type,Date Found,Description File
PointClickCare,"UX Designer, Contractor",https://jobs.lever.co/pointclickcare/43037152-5306-48f2-8927-636ddffb7caf/apply,,,Remote or Mississauga,Remote,2026-07-01,job_descriptions/2026/pointclickcare_ux-designer-contractor_07-01-26.md
PointClickCare,"UX Designer, Contractor",https://jobs.lever.co/pointclickcare/c2288614-58be-458e-954c-3ef867d82fa6/apply,,,"Remote, USA",Remote,2026-07-01,job_descriptions/2026/pointclickcare_ux-designer-contractor_07-01-26-b681aad4.md
Moxie,Senior Product Designer,https://jobs.ashbyhq.com/moxie/c14f61d2-96eb-4c0a-ac4b-af1bb1195ccc/application,,,Remote - US,Remote,2026-07-01,job_descriptions/2026/moxie_senior-product-designer_07-01-26.md
Lumos,Senior Product Designer,https://jobs.ashbyhq.com/lumos/f3756857-cc8c-4719-b3f6-985ac15bb298/application,,,United States,Remote,2026-07-01,job_descriptions/2026/lumos_senior-product-designer_07-01-26.md
Hightouch,"Senior Product Designer, AI Creative",https://job-boards.greenhouse.io/hightouch/jobs/6103070004,,,"Remote, United States",Remote,2026-06-27,job_descriptions/2026/hightouch_senior-product-designer-ai-creative_06-27-26.md
CVS Health,Senior Experience Designer,https://cvshealth.wd1.myworkdayjobs.com/CVS_Health_Careers/job/MA---Work-from-home/Senior-Experience-Designer_R0950381-1,,,MA - Work from home,Remote,2026-06-27,job_descriptions/2026/cvs-health_senior-experience-designer_06-27-26.md
Veeva,Senior Product Designer,https://jobs.lever.co/veeva/2f3c3953-4be7-429c-b9c2-46345f4a1683/apply,,,New York - New York City,Remote,2026-06-25,job_descriptions/2026/veeva_senior-product-designer_06-25-26.md
Veeva,Senior Product Designer,https://jobs.lever.co/veeva/ac05cbc6-84ff-4168-9e61-355626e09306/apply,,,Massachusetts - Boston,Remote,2026-06-25,job_descriptions/2026/veeva_senior-product-designer_06-25-26-f68b7fbe.md
Veeva,Senior Product Designer,https://jobs.lever.co/veeva/fb5e8715-f29d-4656-94bb-5d14186e5861/apply,,,Massachusetts - Boston,Remote,2026-06-25,job_descriptions/2026/veeva_senior-product-designer_06-25-26-d2fd457c.md
Instacart,Sr. Product Designer II - Design Systems,https://instacart.careers/job/?gh_jid=8026684,,,United States - Remote,Remote,2026-06-25,job_descriptions/2026/instacart_sr-product-designer-ii-design-systems_06-25-26.md
Instacart,Sr. Product Designer II - Design Systems,https://instacart.careers/job/?gh_jid=8026686,,,"Canada - Remote (ON, AB, BC, or NS Only)",Remote,2026-06-25,job_descriptions/2026/instacart_sr-product-designer-ii-design-systems_06-25-26-2f09f463.md
Omada Health,"Product Designer, AI Experience",https://job-boards.greenhouse.io/omadahealth/jobs/7821718,,,"Remote, USA",Remote,2026-06-24,job_descriptions/2026/omada-health_product-designer-ai-experience_06-24-26.md
Mercury,Senior Product Designer - Disputes,https://job-boards.greenhouse.io/mercury/jobs/6099697004,,,"San Francisco, CA, New York, NY, Portland, OR, or Remote within Canada or United States",Remote,2026-06-24,job_descriptions/2026/mercury_senior-product-designer-disputes_06-24-26.md
Twilio,Senior Learning Experience Designer,https://job-boards.greenhouse.io/twilio/jobs/7926954,,,Remote - Canada,Remote,2026-06-23,job_descriptions/2026/twilio_senior-learning-experience-designer_06-23-26.md
Maven,Senior Product Designer,https://job-boards.greenhouse.io/mavenclinic/jobs/8516677002,,,"New York, NY; Remote, US (Hub cities)",Remote,2026-06-23,job_descriptions/2026/maven_senior-product-designer_06-23-26.md
Maven,"Product Designer, Maternity Experience",https://job-boards.greenhouse.io/mavenclinic/jobs/8493856002,,,"New York, NY; Remote, US (Hub cities)",Remote,2026-06-23,job_descriptions/2026/maven_product-designer-maternity-experience_06-23-26.md
Jukebox Health,Senior Product Designer,https://job-boards.greenhouse.io/jukeboxhealth/jobs/4284624009,,,Remote,Remote,2026-06-23,job_descriptions/2026/jukebox-health_senior-product-designer_06-23-26.md
Cleo,Senior UX Designer,https://job-boards.greenhouse.io/cleo/jobs/4698914005,,,Remote,Remote,2026-06-23,job_descriptions/2026/cleo_senior-ux-designer_06-23-26.md
CVS Health,Senior Experience Designer,https://cvshealth.wd1.myworkdayjobs.com/CVS_Health_Careers/job/MA---Work-from-home/Senior-Experience-Designer_R0934431,,,MA - Work from home,Remote,2026-06-23,job_descriptions/2026/cvs-health_senior-experience-designer_06-23-26.md
Sword Health,Expert Product Designer - Web,https://jobs.lever.co/swordhealth/56f75afa-a34d-4c88-b9a6-f954bf15a0a0/apply,,,Porto,Remote,2026-06-22,job_descriptions/2026/sword-health_expert-product-designer-web_06-22-26.md
Stripe,"Product Designer, Connect Risk",https://stripe.com/jobs/search?gh_jid=7568117,,,US / Canada,Remote,2026-06-22,job_descriptions/2026/stripe_product-designer-connect-risk_06-22-26.md
Stripe,Product Designer - Dashboard,https://stripe.com/jobs/search?gh_jid=7980578,,,US / Canada,Remote,2026-06-22,job_descriptions/2026/stripe_product-designer-dashboard_06-22-26.md
Pinterest,"Sr. Product Designer, Advertiser Experience",https://www.pinterestcareers.com/jobs/?gh_jid=7770902,,,"San Francisco, CA, US; Remote, US",Remote,2026-06-22,job_descriptions/2026/pinterest_sr-product-designer-advertiser-experience_06-22-26.md
Discord,"Senior Product Designer, Developer Success",https://job-boards.greenhouse.io/discord/jobs/8595014002,,,San Francisco Bay Area or Remote (U.S.),Remote,2026-06-22,job_descriptions/2026/discord_senior-product-designer-developer-success_06-22-26.md
CVS Health,"Sr Analyst, Digital UX Designer",https://cvshealth.wd1.myworkdayjobs.com/CVS_Health_Careers/job/NY---New-York/Sr-Analyst--Digital-UX-Designer_R0942396,,,Remote — NY - New York,Remote,2026-06-22,job_descriptions/2026/cvs-health_sr-analyst-digital-ux-designer_06-22-26.md
Veracyte,Senior UX Designer,https://veracyte.com/job-detail?gh_jid=5164024007,,,"Remote ; San Diego, California, United States; South San Francisco, California, United States",Remote,2026-06-17,job_descriptions/2026/veracyte_senior-ux-designer_06-17-26.md
Everlywell,Visual Senior Product Designer (Remote/Contract),https://jobs.lever.co/everlywell/7b7ac528-ec42-4480-b1fd-11ded686380e/apply,,,United States,Remote,2026-06-17,job_descriptions/2026/everlywell_visual-senior-product-designer-remotecontract_06-17-26.md
Veeva,Senior Product Designer,https://jobs.lever.co/veeva/86abf448-acee-4fc5-8c5f-215c917fa986/apply,,,California - Pleasanton,Remote,2026-06-16,job_descriptions/2026/veeva_senior-product-designer_06-15-26.md
Beacon Biosignals,Senior Product Designer,https://job-boards.greenhouse.io/beaconbiosignals/jobs/4283957009,,,"Boston, MA / Remote",Remote,2026-06-16,job_descriptions/2026/beacon-biosignals_senior-product-designer_06-16-26.md
Vercel,Senior Product Designer,https://job-boards.greenhouse.io/vercel/jobs/5735407004,,,Remote - United States,Remote,2026-06-15,job_descriptions/2026/vercel_senior-product-designer_06-15-26.md
Pinterest,"Sr. Product Designer, Measurement & Conversion",https://www.pinterestcareers.com/jobs/?gh_jid=7743636,,,"San Francisco, CA, US; Remote, US",Remote,2026-06-15,job_descriptions/2026/pinterest_sr-product-designer-measurement-conversion_06-15-26.md
Pinterest,"Product Designer II, Pinner Actionability",https://www.pinterestcareers.com/jobs/?gh_jid=7698212,,,"San Francisco, CA, US; Remote, US",Remote,2026-06-15,job_descriptions/2026/pinterest_product-designer-ii-pinner-actionability_06-15-26.md
Omada Health,Senior Product Designer,https://job-boards.greenhouse.io/omadahealth/jobs/7800336,,,"Remote, USA",Remote,2026-06-15,job_descriptions/2026/omada-health_senior-product-designer_06-15-26.md
Natera,"UX Designer, Provider Experience",https://job-boards.greenhouse.io/natera/jobs/5991741004,,,US Remote,Remote,2026-06-15,job_descriptions/2026/natera_ux-designer-provider-experience_06-15-26.md
Mixpanel,Senior Product Designer,https://job-boards.greenhouse.io/mixpanel/jobs/7767652,,,"San Francisco, US (Remote)",Remote,2026-06-15,job_descriptions/2026/mixpanel_senior-product-designer_06-15-26.md
Mercury,Senior Product Designer – Core Mobile Experiences,https://job-boards.greenhouse.io/mercury/jobs/5843845004,,,"San Francisco, CA, New York, NY, Portland, OR, or Remote within Canada or United States",Remote,2026-06-15,job_descriptions/2026/mercury_senior-product-designer-mobile_06-15-26.md
Mercury,Senior Product Designer - Accounting Systems,https://job-boards.greenhouse.io/mercury/jobs/6001908004,,,"San Francisco, CA, New York, NY, Portland, OR, or Remote within Canada or United States",Remote,2026-06-15,job_descriptions/2026/mercury_senior-product-designer-accounting-systems_06-15-26.md
LaunchDarkly,"Senior Product Designer, Growth",https://job-boards.greenhouse.io/launchdarkly/jobs/7738081003,,,Remote - US,Remote,2026-06-15,job_descriptions/2026/launchdarkly_senior-product-designer-growth_06-15-26.md
LaunchDarkly,"Senior Product Designer, AgentControl",https://job-boards.greenhouse.io/launchdarkly/jobs/7629005003,,,Remote - US,Remote,2026-06-15,job_descriptions/2026/launchdarkly_senior-product-designer-ai-configs_06-15-26.md
Hatch,Senior Product Designer,https://jobs.ashbyhq.com/hatch/f717d43f-8b72-4cb5-90af-d2222d6886b2/application,,,Remote,Remote,2026-06-15,job_descriptions/2026/hatch_senior-product-designer_06-15-26.md
